,Product_id,manufacturer,Device Type,Status,Warranty_name,Warranty_price,org_price,last_month_price,Color,Weight,Processor Manufacturer,Processor Series,Processor Model,Processor Cache Memory,RAM Memory,Screen Size,Screen Type,Optical Drive,RAM Type,Internal Memory Type,Operating System,Graphics Card Manufacturer,Graphics Card Model,Battery Cell Count
553,11399623,ایسوس,Vivobook,marketable,یکپارچه (سازگار، حامی(ویستا) و آواژنگ),6540000.0,299900000.0,298900000,نقره ای,1.8,Intel,Corei5,1235U,12,16,16.0,IPS level panel,بدون درایو نوری,DDR4,SSD,بدون سیستم عامل,Intel,IrisXe,
554,12224149,ایسوس,,marketable,سریر,4294600.0,196900000.0,187000000,خاکستری,1.8,Intel,Corei3,1115G4,6,4,15.6,IPS level panel,بدون درایو نوری,DDR4,SSD,بدون سیستم عامل,NVIDIA,GeForceMX330,لیتیوم-یونی
555,11967751,ایسوس,,marketable,آرتین تجارت آریا تدبیر,7619100.0,359400000.0,330100000,نقره ای,,Intel,Corei7,1165G7,12,16,15.6,,بدون درایو نوری,DDR4,هیبریدی,بدون سیستم عامل,NVIDIA,GeForceMX330,لیتیوم یونی
556,11701494,دل,Vostro,marketable,لپ تک,3836800.0,176000000.0,165000000,مشکی,1.69,Intel,Corei3,1115G4,6,8,15.6,TN,بدون درایو نوری,DDR4,SSD,Linux,Intel,UHDGraphics,لیتیوم پلیمری
557,12957922,لنوو,LOQ,marketable,دیبا کام پردازش سدرا,14464300.0,657900000.0,660400000,خاکستری,2.4,Intel,Corei7,13620H,24,32,15.6,IPS level panel,بدون درایو نوری,DDR5,SSD,بدون سیستم عامل,NVIDIA,GeForceRTX4060,
558,12082829,ایسوس,TUF,marketable,الماس رایان ایرانیان,12916500.0,592000000.0,587000000,خاکستری,2.2,Intel,Corei7,12700H,24,16,15.6,IPS level panel,بدون درایو نوری,DDR4,SSD,Microsoft Windows 11,NVIDIA,GeforceRTX4050,چهار سلولی
559,10044136,ایسوس,VivoBook,marketable,تراشه افزار تات,6322000.0,292000000.0,0,خاکستری,1.8,Intel,Corei5,1135G7,8,16,15.6,IPS level panel,بدون درایو نوری,DDR4,SSD,بدون سیستم عامل,NVIDIA,GeForceMX330,لیتیوم-یونی
560,11274902,ایسر,Aspire,marketable,بازرگانی مهر کارن,4905000.0,220402000.0,185000000,ذغالی,1.9,AMD,Ryzen5,3500U,4,12,15.6,,بدون درایو نوری,DDR4,هیبریدی,بدون سیستم عامل,AMD,RadeonVEGA8,لیتیوم پلیمری
561,11263196,ایسوس,,marketable,سریر,3902200.0,179000000.0,167700000,نقره ای,1.8,Intel,Corei3,1115G4,6,12,15.6,TN,بدون درایو نوری,DDR4,SSD,بدون سیستم عامل,Intel,UHDGraphics,
562,12661353,ایسوس,Vivobook,marketable,بازرگانی مهر کارن,6365600.0,291800000.0,294000000,سرمه ای,1.7,AMD,Ryzen5,5600H,16,24,15.6,IPS level panel,بدون درایو نوری,DDR4,SSD,بدون سیستم عامل,AMD,RadeonGraphics,
563,11910272,لنوو,AMN,marketable,بازرگانی مهر کارن,3270000.0,150000000.0,128500000,مشکی,1.65,AMD,ATHLON,Silver 7120U,2,8,15.6,TN,بدون درایو نوری,LPDDR5,SSD,بدون سیستم عامل,AMD,Radeon610M,
564,12790241,اپل,MacBook,marketable,آرتل,17222000.0,787000000.0,755990000,طلایی,1.24,Apple,M2,8‑Core,20,16,13.6,Liquid Retina XDR,بدون درایو نوری,LPDDR5,SSD,Apple Mac OS,Apple,8COREGPU,لیتیوم پلیمری
565,11777886,لنوو,LOQ,out_of_stock,,,,570900000,,2.4,Intel,Corei7,13620H,24,16,16.0,IPS level panel,بدون درایو نوری,DDR5,SSD,بدون سیستم عامل,NVIDIA,GeForceRTX4050,
566,10659859,ایسوس,VivoBook,marketable,هوشمند سرویس فرتاک (همتا سرویس فرتاک),7695400.0,353000000.0,309000000,نقره ای,1.8,Intel,Corei7,1165G7,12,16,15.6,TFT LCD,بدون درایو نوری,DDR4,SSD,DOS,NVIDIA,GeForceMX330,
567,12117030,لنوو,AMN,marketable,بازرگانی مهر کارن,3248200.0,151000000.0,110000000,مشکی,1.6,AMD,ATHLON,Silver 7120U,2,8,15.6,TN,بدون درایو نوری,LPDDR5,SSD,بدون سیستم عامل,AMD,Radeon610M,
568,11018697,لنوو,ThinkPad,marketable,الماس رایان ایرانیان,9919000.0,436800000.0,426900000,مشکی,1.64,Intel,Corei5,1235U,12,8,14.0,IPS level panel,بدون درایو نوری,DDR4,SSD,بدون سیستم عامل,NVIDIA,GeForceMX550,
569,12363714,اپل,MacBook,marketable,آروند,14148200.0,649900000.0,633900000,خاکستری,1.51,Apple,M2,M2 8-Cores,20,8,15.3,IPS level panel,بدون درایو نوری,Unified,SSD,Apple Mac OS,Apple,M2Integrated-10Cores,لیتیوم پلیمری
570,11305435,لنوو,IdeaPad,marketable,تراشه افزار تات,11554000.0,529990000.0,518000000,سفید,2.3,Intel,Corei7,12650H,24,16,15.6,IPS level panel,بدون درایو نوری,DDR4,SSD,بدون سیستم عامل,NVIDIA,GeForceRTX3060,چهار سلولی
