,manufacturer,Device Type,org_price,Weight,Processor Manufacturer,Processor Series,Processor Model,Processor Cache Memory,RAM Memory,Screen Size,Screen Type,RAM Type,Internal Memory Type,Operating System,Graphics Card Manufacturer,Graphics Card Model,Battery Cell Count,store
3160,lenovo,legion-5,,2.39,AMD,Ryzen 7,4800H,,16.0,15.6,,DDR4,SSDHDD,Windows 10,Nvidia,GeForce GTX 1660 Ti,,meghdad
3161,lenovo,thinkbook-14,,1.5,INTEL,Core i5,1035 G1,6.0,8.0,14.0,,DDR4,HDD,,AMD,Radeon  630,3.0,meghdad
3162,lenovo,thinkbook-14-iil,,1.5,INTEL,Core i5,1035 G1,6.0,8.0,14.0,TN,DDR4,HDD,,AMD,Radeon  625,3.0,meghdad
3163,lenovo,thinkbook-14-iil,,1.5,INTEL,Core i5,1035 G1,6.0,8.0,14.0,TN,DDR4,SSDHDD,,AMD,Radeon  625,3.0,meghdad
3164,lenovo,thinkbook-14-iil,,1.5,INTEL,Core i5,1035 G1,6.0,8.0,14.0,TN,DDR4,SSDHDD,,AMD,Radeon  625,3.0,meghdad
3165,lenovo,thinkbook-15,,1.7,INTEL,Core i7,10510U,8.0,8.0,15.6,,DDR4,SSDHDD,Dos,AMD,AMD Radeon 620,,meghdad
3166,lenovo,thinkbook-15,,1.7,INTEL,Core i7,10510U,8.0,8.0,15.6,,DDR4,SSDHDD,Dos,AMD,AMD Radeon 620,,meghdad
3167,lenovo,legion-5,,2.39,INTEL,Core i7,10750H,12.0,16.0,15.6,,DDR4,SSDHDD,,Nvidia,Geforce GTX1650Ti DDR6,3.0,meghdad
3168,lenovo,v155,,2.2,AMD,Ryzen 5,3500U,,4.0,15.6,,DDR4,HDD,Dos,AMD,AMD Radeon TM Vega 3,2.0,meghdad
3169,lenovo,ideapad-l3,,2.2,INTEL,Core i5,10210U,6.0,8.0,15.6,TFT LED-backlit LCD,DDR4,SSDHDD,Dos,Nvidia,MX130,3.0,meghdad
3170,lenovo,ideapad-l3,,2.2,INTEL,Core i5,10210U,6.0,12.0,15.6,TFT LED-backlit LCD,DDR4,SSDHDD,Dos,Nvidia,MX130,3.0,meghdad
3171,lenovo,ideapad-l3,,2.2,INTEL,Core i5,10210U,6.0,8.0,15.6,TFT LED-backlit LCD,DDR4,SSDHDD,Dos,Nvidia,MX130,3.0,meghdad
3172,lenovo,ideapad-l340,,2.2,INTEL,Core i5,9300H,8.0,8.0,15.6,TFT LED-backlit LCD,DDR4,SSD,Dos,Nvidia,GeForce GTX 1650 DDR5,,meghdad
3173,lenovo,ideapad-l340,,2.2,INTEL,Core i5,9300H,8.0,16.0,15.6,TFT LED-backlit LCD,DDR4,SSD,Dos,Nvidia,GeForce GTX 1650 DDR5,,meghdad
3174,lenovo,ideapad-l340,,2.2,INTEL,Core i5,9300H,8.0,8.0,15.6,TFT LED-backlit LCD,DDR4,SSD,Dos,Nvidia,GeForce GTX 1650 DDR5,,meghdad
3175,lenovo,thinkpad-e15,,1.9,INTEL,Core i7,10510U,8.0,16.0,15.6,TN,DDR4,SSDHDD,Dos,AMD,AMD Radeon RX640,3.0,meghdad
3176,lenovo,ideapad-130,,2.1,INTEL,Core i3,8130U,,4.0,15.6,TFT LED-backlit LCD,DDR4,HDD,Dos,Nvidia,MX110,2.0,meghdad
3177,lenovo,thinkpad-e590,,2.13,INTEL,Core i3,8145U,4.0,8.0,15.6,TFT LED-backlit IPS LCD,DDR4,HDD,,Intel,UHD Graphics 620,,meghdad
3178,lenovo,thinkpad-e590,,2.13,INTEL,Core i3,8145U,4.0,8.0,15.6,TFT LED-backlit IPS LCD,DDR4,SSDHDD,,Intel,UHD Graphics 620,,meghdad
3179,lenovo,thinkpad-e590,,2.13,INTEL,Core i3,8145U,4.0,8.0,15.6,TFT LED-backlit IPS LCD,DDR4,SSDHDD,,Intel,UHD Graphics 620,,meghdad
3180,lenovo,v15,,1.85,AMD,Ryzen 3,,4.0,8.0,15.6,HD (1366 768) TFT,DDR4,HDD,Dos,AMD,AMD VEGA 3,2.0,meghdad
3181,lenovo,v15,,1.85,AMD,Ryzen 3,,4.0,8.0,15.6,HD (1366 768) TFT,DDR4,SSDHDD,Dos,AMD,AMD VEGA 3,2.0,meghdad
3182,lenovo,v15,,1.85,AMD,Ryzen 3,,4.0,12.0,15.6,HD (1366 768) TFT,DDR4,HDD,Dos,AMD,AMD VEGA 3,2.0,meghdad
3183,lenovo,v15,,1.85,AMD,Ryzen 3,,4.0,12.0,15.6,HD (1366 768) TFT,DDR4,SSDHDD,Dos,AMD,AMD VEGA 3,2.0,meghdad
3184,lenovo,ideapad-l340,,2.2,INTEL,Core i7,9750H,12.0,16.0,15.6,IPS LED-backlit LCD,DDR4,SSDHDD,Dos,Nvidia,GTX 1650,3.0,meghdad
3185,lenovo,legion-5,,2.39,INTEL,Core i7,10750H,12.0,16.0,15.6,,DDR4,SSDHDD,,Nvidia,GeForce GTX 1650TI,3.0,meghdad
3186,lenovo,ideapad-130,,2.1,INTEL,Core i3,8130U,4.0,4.0,15.6,LED-backlit LCD,DDR4,HDD,Dos,Intel,UHD Graphics 620,2.0,meghdad
3187,lenovo,ideapad-130,,2.1,INTEL,Core i3,8130U,4.0,8.0,15.6,LED-backlit LCD,DDR4,HDD,Dos,Intel,UHD Graphics 620,2.0,meghdad
3188,lenovo,ideapad-gaming-3-i7-10750h-16gb-1tb-128gb-ssd-4gb-1650,,2.2,INTEL,Core i7,10750H,12.0,16.0,15.6,,DDR4,SSDHDD,Dos,Nvidia,GTX 1650,3.0,meghdad
3189,lenovo,ideapad-i7-10750h-16gb-1tb,,2.2,INTEL,Core i7,10750H,12.0,16.0,15.6,,DDR4,SSDHDD,Dos,Nvidia,GTX 1650,3.0,meghdad
3190,lenovo,ideapad-330-a6-9225-8gb-1tb,,2.2,AMD,,A6-9225,1.0,8.0,15.6,TFT LED-backlit LCD,DDR4,HDD,Dos,AMD,,2.0,meghdad
3191,lenovo,ideapad-330-a6-9225-4gb-1tb-512mb-hd,,2.2,AMD,,A6-9225,1.0,4.0,15.6,TFT LED-backlit LCD,DDR4,HDD,Dos,AMD,,2.0,meghdad
3192,lenovo,ideapad-3,,1.75,INTEL,Core i3,I3-10110U,,4.0,15.6,TN,DDR4,HDD,Dos,Nvidia,MX130,,meghdad
3193,lenovo,ideapad-3,,1.75,INTEL,Core i3,I3-10110U,,8.0,15.6,TN,DDR4,HDD,Dos,Nvidia,MX130,,meghdad
3194,lenovo,ideapad-3,,1.75,INTEL,Core i3,I3-10110U,,8.0,15.6,TN,DDR4,SSDHDD,Dos,Nvidia,MX130,,meghdad
3195,lenovo,ideapad-3,,1.75,INTEL,Core i3,I3-10110U,,8.0,15.6,TN,DDR4,SSDHDD,Dos,Nvidia,MX130,,meghdad
3196,lenovo,ideapad-3,,1.8,INTEL,Core i7,10510U,,8.0,15.6,,DDR4,HDD,Dos,Nvidia,MX330,,meghdad
3197,lenovo,ideapad-3,,1.8,INTEL,Core i7,10510U,,8.0,15.6,TN,DDR4,SSDHDD,Dos,Nvidia,MX330,,meghdad
3198,lenovo,ideapad-3,,1.8,INTEL,Core i7,10510U,,8.0,15.6,TN,DDR4,SSDHDD,Dos,Nvidia,MX330,,meghdad
3199,lenovo,v15,,2.2,INTEL,Core i5,8265U,,4.0,15.6,,DDR4,HDD,Dos,AMD,R620,2.0,meghdad
3200,lenovo,v130-n4000-8gb-1tb-128gb-ssd-intel,,1.85,INTEL,Celeron,Celeron-N4000,4.0,8.0,15.6,TFT LED-backlit LCD,DDR4,SSDHDD,Dos,Intel,UHD Graphics 600,2.0,meghdad
3201,lenovo,ideapad-3,,1.75,INTEL,Core i5,1035 G1,,8.0,15.6,TN,DDR4,SSDHDD,Dos,Nvidia,NVIDIA Geforce MX130,2.0,meghdad
3202,lenovo,ideapad-3,,1.75,INTEL,Core i5,1035 G1,,8.0,15.6,TN,DDR4,SSDHDD,Dos,Nvidia,NVIDIA Geforce MX130,2.0,meghdad
3203,lenovo,ideapad-gaming-3,,2.2,INTEL,Core i7,10750H,12.0,16.0,15.6,,DDR4,SSD,Dos,Nvidia,GTX 1650ti,3.0,meghdad
3204,lenovo,thinkbook-15,,1.8,INTEL,Core i5,1035 G1,,8.0,15.6,TFT LED-backlit LCD,DDR4,SSDHDD,,AMD,M630,,meghdad
3205,lenovo,thinkbook-15,,1.8,INTEL,Core i5,1035 G1,,8.0,15.6,TFT LED-backlit LCD,DDR4,SSDHDD,,AMD,M630,,meghdad
3206,lenovo,thinkbook-15,,1.8,INTEL,Core i5,1035 G1,,12.0,15.6,TFT LED-backlit LCD,DDR4,SSDHDD,,AMD,M630,,meghdad
3207,lenovo,legion-5,,2.39,INTEL,Core i7,10750H,12.0,16.0,15.6,,DDR4,SSDHDD,,Nvidia,RTX 2060,3.0,meghdad
3208,lenovo,ideapad-l340,,2.2,INTEL,Core i5,9300H,8.0,16.0,15.6,TFT LED-backlit LCD,DDR4,SSD,Dos,Nvidia,GeForce GTX 1650,,meghdad
3209,lenovo,ideapad-v130,,1.7,INTEL,Core i3,8130U,,8.0,15.6,TN,DDR4,SSDHDD,Dos,AMD,,,meghdad
3210,lenovo,ideapad-3,,1.75,INTEL,Core i3,1005 G1,,8.0,15.6,TN,DDR4,SSD,Dos,Intel,,,meghdad
