,Product_id,manufacturer,Device Type,Status,Warranty_id,Warranty_price,org_price,last_month_price,Color,Weight,Processor Manufacturer,Processor Series,Processor Model,Processor Cache Memory,RAM Memory,Screen Size,Screen Type,Optical Drive,RAM Type,Internal Memory Type,Operating System,Graphics Card Manufacturer,Graphics Card Model,Battery Cell Count
964,37180,لنوو,,out_of_stock,,,,0,,2.3,Intel,Corei5,4210U,سه,4,15.6,IPS LED-backlit LCD,DVD-RW,DDR3,حافظه‌های هیبریدی,بدون سیستم عامل,NVIDIA,GeForceGT840M,چهار سلولی
965,42523,اپل,MacBook,out_of_stock,,,,0,,1.57,Intel,Corei5,,سه,8,13.0,IPS LED-backlit LCD,بدون درایو نوری,DDR3,SSD,Apple Mac OS,Intel,IntelIrisGraphics,شش سلولی
966,39060,ایسر,,out_of_stock,,,,0,,2.5,Intel,Corei5,4210U,سه,4,15.6,TFT LED-backlit LCD,DVD-RW,DDR3,هارددیسک,بدون سیستم عامل,NVIDIA,GeForce840M,شش سلولی
967,33657,لنوو,,out_of_stock,,,,0,,2.58,Intel,Corei7,4500U,4,6,15.6,TFT LED-backlit LCD,DVD-RW,DDR3,هارددیسک,بدون سیستم عامل,NVIDIA,GeForceGT720M,چهار سلولی
968,33697,ایسر,,out_of_stock,,,,0,,2.35,Intel,Corei5,4200U,سه,6,15.6,TFT LED-backlit LCD,DVD-RW,DDR3,هارددیسک,بدون سیستم عامل,AMD,RadeonR7M265,چهار سلولی
969,34126,اچ‌ پی,,out_of_stock,,,,0,,2.5,Intel,Celeron,N2810,یک,2,15.6,TFT LED-backlit LCD,DVD-RW,DDR3,هارددیسک,بدون سیستم عامل,Intel,HDGraphics,چهار سلولی
970,11853,سامسونگ,,out_of_stock,,,,0,,2.3,Intel,Celeron,B820,2,4,15.6,TFT LED-backlit LCD,DVD-RW,DDR3,هارددیسک,بدون سیستم عامل,Intel,HDGraphics3000,شش سلولی
971,11949,دل,Inspiron,out_of_stock,,,,0,,2.25,Intel,Corei5,3317U 1.7GHz,سه,4,15.6,TFT LED-backlit LCD,DVD-RW,DDR3,هارددیسک,بدون سیستم عامل,AMD,RADEONHD7670M,شش سلولی
972,11955,ایسر,,out_of_stock,,,,0,,2.6,AMD,QuadCore,A8-4500M 1.9 GHz,4,8,15.6,TFT LED-backlit LCD,DVD-RW,DDR3,هارددیسک,Microsoft Windows 7,AMD,RadeonHD7640G,شش سلولی
973,11962,ایسر,Aspire,out_of_stock,,,,0,,2.6,Intel,Corei3,3110M,سه,4,15.6,TFT LED-backlit LCD,DVD-RW,DDR3,هارددیسک,بدون سیستم عامل,NVIDIA,GeForceGT630MDDR3,شش سلولی
