,actual,Predicted
4039,1080040000,716636976.5293833
4040,1020550000,716388306.5361702
4041,1065650000,717309387.1936618
4042,1035680000,717152124.332125
4043,898420000,717176744.4707828
4044,934690000,718017867.3064017
4045,1024640000,717694706.3529238
4046,1004100000,717997237.0228372
4047,1011950000,718661125.6616131
4048,1015230000,718285497.7542866
4049,1004970000,718822027.2050494
4050,1113460000,719252819.9077961
4051,939890000,718934639.1443738
4052,1033060000,719625694.4814018
4053,943030000,719814002.3378241
4054,1100020000,719641064.0722392
4055,1037570000,720389287.9537389
4056,1088660000,720368662.0304102
4057,1096150000,720393926.4757898
4058,991600000,721102883.1856675
4059,994710000,720939254.0519499
4060,1075730000,721175559.5855254
4061,1170450000,721766295.7381027
4062,1065480000,721542989.6545827
4063,1195240000,721965285.1393558
4064,1096630000,722388032.5985588
4065,1127750000,722189444.0640211
4066,1072230000,722743320.3983039
4067,1019510000,722982858.1517994
4068,1136620000,722879749.0450591
4069,1043160000,723494097.0286183
4070,1145750000,723568548.9493428
4071,1052290000,723607333.9633808
4072,1134420000,724208483.6276942
4073,1130060000,724162487.9998739
4074,1268450000,724359915.525267
4075,1143980000,724884649.4846206
4076,1021030000,724778704.8481109
4077,990420000,725122253.878472
4078,1162880000,725527571.0531456
4079,1054470000,725425823.4306406
4080,1178350000,725879113.8419858
4081,1092910000,726147416.9739891
4082,1120420000,726106171.5967097
4083,1324320000,726617896.8450159
4084,1264520000,726757215.0957518
4085,1236110000,726816077.296828
4086,1246530000,727330525.3352014
4087,1092140000,727370284.251864
4088,1233730000,727547168.6265024
4089,1176370000,728014336.9750305
4090,1295640000,727997900.6469866
4091,1080780000,728288341.7373277
4092,1156230000,728671943.9623399
4093,1107810000,728647576.0486114
4094,1018990000,729027982.4986513
4095,1276350000,729310196.5794717
4096,1219600000,729322177.4253691
4097,1125770000,729756029.8851608
4098,1126200000,729938529.4236338
4099,1229210000,730019946.8079234
4100,1165080000,730465542.1187323
4101,1169550000,730567044.5480999
4102,1208110000,730735318.0807242
4103,1101870000,731153550.1124834
4104,1188950000,731204691.9085202
4105,1142920000,731460301.170732
4106,970320000,731821129.8103272
