Processor Manufacturer,Processor Series,Processor Model,RAM Type,RAM Memory,Internal Memory Type SSD,Internal Memory Type HDD,Graphics Card Manufacturer,Dedicated Graphics Memory,Graphics Card Model,manufacturer,org_price,store,Screen Resolution,Screen Type,Screen Size
Intel,Corei7,1165G7,DDR4,20,1024,0,Nvidia,2,NVIDIA Geforce MX350,asus,37174000,meghdad,1080 * 1920 ,OLED,15.6
Intel,Corei7,12700H,LPDDR5,16,0,0,Nvidia,4,GeForceRTX3050,asus,57390000,digikala,,OLED,
Intel,Corei7,13700H,LPDDR5,16,0,0,Intel,4,IRISXE,asus,68475000,digikala,,OLED,
Intel,Corei7,1165G7,DDR4,8,512,0,Nvidia,2,NVIDIA Geforce MX350,asus,33699000,meghdad,1080 * 1920 ,OLED,15.6
AMD,Ryzen5,4600H,DDR4,8,1024,0,AMD,4,AMD Radeon,asus,25364000,meghdad,1080 * 1920 ,OLED,15.6
Intel,Corei7,12700H,LPDDR5,16,0,0,Intel,4,IRISXE,asus,62900000,digikala,,OLED,
AMD,Ryzen7,5800H,DDR4,16,0,0,Nvidia,4,GeForceRTX3050,asus,46950000,digikala,,OLED,
Intel,Corei7,13700H,LPDDR5,16,0,0,Intel,4,IRISXE,asus,68475000,digikala,,OLED,
AMD,Ryzen7,5800H,DDR4,16,0,0,Nvidia,4,GeForceRTX3050,asus,48900000,digikala,,OLED,
Intel,Corei7,12700H,DDR4,16,0,0,Intel,4,IrisXe,asus,40600000,digikala,,OLED,
AMD,Ryzen7,5800H,DDR4,16,0,0,Nvidia,4,GEFORCERTX3050,asus,42500000,digikala,,OLED,
Intel,Corei7,1260P,DDR5,16,1024,0,Intel,4,Iris Xe,asus,75464000,meghdad,1800 * 2880,OLED,14
Intel,Corei5,12500H,DDR4,8,0,0,Intel,4,IRISXE,asus,42900000,digikala,,OLED,
Intel,Corei7,13620H,DDR5,16,0,0,Nvidia,4,GeForceRTX3050,asus,58000000,digikala,,OLED,
Intel,Corei5,13500H,LPDDR5,8,0,0,Intel,4,IRISXE,asus,40300000,digikala,,OLED,
Intel,Corei7,1165G7,DDR4,16,0,0,Nvidia,4,GeForceMX350,asus,36990000,digikala,,OLED,
Intel,Corei7,1165G7,DDR4,20,512,0,Nvidia,2,NVIDIA Geforce MX350,asus,35674000,meghdad,1080 * 1920 ,OLED,15.6
AMD,Ryzen7,5800H,DDR4,16,0,0,Nvidia,4,GeForceRTX3050,asus,46950000,digikala,,OLED,
Intel,Corei7,1165G7,LPDDR4X,16,0,0,Intel,4,IrisXe,asus,49500000,digikala,,OLED,
Intel,Corei7,12700H,LPDDR5,16,0,0,Nvidia,4,GEFORCERTX3050TIGDDR6,asus,116332000,digikala,,OLED,
Intel,Corei7,1165G7,DDR4,12,256,1024,Nvidia,2,NVIDIA Geforce MX450,lenovo,30200000,meghdad,1080 * 1920 ,OLED,15.6
Intel,Corei5,1155G7,DDR4,16,512,1024,Nvidia,2,NVIDIA Geforce MX350,lenovo,27500000,meghdad,1080 * 1920 ,OLED,15.6
