,Processor Manufacturer,Processor Series,Processor Model,RAM Type,RAM Memory,Internal Memory Type SSD,Internal Memory Type HDD,Graphics Card Manufacturer,Dedicated Graphics Memory,Graphics Card Model,manufacturer,org_price,store,Screen Type,Screen Size,Screen_resolution_width,Screen_resolution_height,predict
99,Intel,Corei3,I3 1115G4,DDR4,4,256,0,Intel,4,UHD,lenovo,14450000,meghdad,full hd,15.6,1080,1920,16002535.197282245
100,Intel,Corei3,1215U,DDR4,8,256,0,Intel,4,UHD,lenovo,15650000,meghdad,full hd,15.6,1080,1920,16825172.67286222
101,Intel,Corei3,1215U,DDR4,4,256,0,Intel,4,UHD,lenovo,16070000,meghdad,full hd,15.6,1080,1920,16002535.197282245
102,Intel,Corei7,1260P,DDR5,32,0,0,Intel,4,IrisXe,asus,56250000,digikala,IPS,15.6,1080,1920,73562934.28571428
103,Intel,Corei7,1165G7,DDR4,8,512,0,Nvidia,2,NVIDIA Geforce MX450,lenovo,31690000,meghdad,OLED,15.6,1080,1920,35506226.47847624
104,Intel,Corei3,1115G4,DDR4,8,0,0,Intel,4,UHDGraphics,asus,18420000,digikala,lcd,15.6,1080,1920,18146274.848297898
105,Apple,M1,Apple M1 chip,Unified,8,0,0,Apple,4,7coreApple-designedintegratedGPU,apple,46199000,digikala,LED Backlit,15.6,1080,1920,58920681.33333334
106,Intel,Corei7,1355U,DDR4,16,1024,0,Nvidia,4,GeForce RTX 3050 GDDR6 - 4GB,hp,70900000,meghdad,IPS,15.6,1080,1920,51977665.51080303
107,Intel,Corei3,I3 1115G4,DDR4,4,256,0,Nvidia,2,MX450,lenovo,19650000,meghdad,IPS,15.6,1080,1920,21161425.333333332
108,Apple,M2,8 Core,Unified,8,0,0,Apple,4,10CoreApple-designedintegratedGPU,apple,73990000,digikala,IPS,15.6,1080,1920,71749263.27705628
109,Intel,Corei3,1115G4,DDR4,20,0,0,Intel,4,UHDGraphics,lenovo,19370000,digikala,TN,15.6,1080,1920,20837933.983773537
110,Intel,Corei5,1035G7,DDR4,16,256,0,Intel,4,Intel Iris Plus Graphics,microsoft,47380000,meghdad,PixelSense,13.5,2256,1504,51014469.283549786
111,Intel,Corei7,1065 G7,DDR4,32,1024,0,Intel,4,Intel Iris Plus Graphics,microsoft,72600000,meghdad,PixelSense,15.0,2256,1504,86567412.66666669
112,Intel,Corei7,1165G7,DDR4,24,512,0,Nvidia,2,GeForce® MX330,asus,32549000,meghdad,full hd,15.6,1080,1920,34962021.331501834
113,Intel,Corei3,1215U,DDR4,4,0,0,Intel,4,UHDGraphics,lenovo,16350000,digikala,TN,15.6,1080,1920,16415449.268710816
114,Apple,M2,M2 8 Cores,Unified,8,0,0,Apple,4,M2Integrated-10Cores,apple,65450000,digikala,IPS,15.6,1080,1920,71749263.27705628
115,Apple,M2,8‑Core,Unified,8,0,0,Apple,4,M210‑core,apple,72900000,digikala,Liquid Retina,15.6,1080,1920,66136498.095238104
116,AMD,Ryzen3,5300U,DDR4,4,0,0,AMD,4,RadeonRXVega6,lenovo,18000000,digikala,TN,15.6,1080,1920,20106465.52419802
117,Intel,Corei7,11800H,DDR4,32,0,0,Nvidia,4,GeForceRTX3070LaptopGPU,hp,60990000,digikala,IPS,15.6,1080,1920,59644789.04324102
118,Intel,Corei3,1215U,DDR4,8,0,0,Intel,4,UHDGraphics,asus,19850000,digikala,lcd,15.6,1080,1920,18146274.848297898
119,Intel,Corei7,1165G7,DDR4,16,1024,0,Nvidia,2,NVIDIA Geforce MX450,lenovo,34650000,meghdad,OLED,15.6,1080,1920,37953508.05752566
120,Apple,M2Pro,M2 Pro (10 Cores),Unified,16,0,0,Apple,4,14-Cores,apple,102990000,digikala,Liquid Retina,15.6,1080,1920,106203230.0
121,Intel,Corei7,11370H,DDR4,32,1024,0,Nvidia,4,NVIDIA® GeForce RTX™3050 Ti  laptop GPU with 4GB GDDR6,microsoft,120000000,meghdad,PixelSense,14.4,1600,2560,97271428.75
122,AMD,Ryzen3,7320U,DDR5,4,0,0,AMD,4,RadeonGraphics,asus,17480000,digikala,IPS,15.6,1080,1920,31689799.102453098
123,Intel,Corei7,13620H,DDR5,64,0,0,Nvidia,4,GeForceRTX4050,lenovo,74400000,digikala,IPS,15.6,1080,1920,96182913.09523809
124,Intel,Corei7,12700H,DDR4,16,0,0,Nvidia,4,GeForceRTX3050Ti,lenovo,53650000,digikala,IPS,15.6,1080,1920,47700991.24069908
125,Intel,Corei7,11800H,DDR4,32,0,0,Nvidia,4,GeForceRTX3060LaptopGPU,hp,54490000,digikala,IPS,15.6,1080,1920,59644789.04324102
126,AMD,Ryzen3,7320U,LPDDR5,8,0,0,AMD,4,Radeon610M,lenovo,15600000,digikala,TN,15.6,1080,1920,31555100.786324784
127,Intel,Corei3,6006U,DDR4,4,0,0,Intel,4,HDGraphics520,asus,15375000,digikala,lcd,15.6,1080,1920,16791743.8495189
128,Intel,Corei5,12500H,DDR4,32,2048,0,Nvidia,4,GeForce RTX3050,asus,52449000,meghdad,IPS,15.6,1080,1920,53258142.57844572
